MatchId,HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore
796,bristol,gloucester,23/24,8,51,26
797,harlequins,sale,23/24,8,36,3
798,bath,harlequins,23/24,9,25,17
799,exeter-chiefs,leicester,23/24,9,29,10
800,gloucester,northampton,23/24,9,29,31
801,newcastle,bristol,23/24,9,13,21
802,sale,saracens,23/24,9,22,20
803,leicester,bath,23/24,10,35,22
804,harlequins,gloucester,23/24,10,32,26
805,northampton,sale,23/24,10,21,17
806,saracens,newcastle,23/24,10,37,19
807,bristol,exeter-chiefs,23/24,10,14,24
808,bath,gloucester,23/24,11,17,10
809,leicester,saracens,23/24,11,19,10
810,exeter-chiefs,northampton,23/24,11,36,42
811,newcastle,harlequins,23/24,11,3,24
812,sale,bristol,23/24,11,14,22
813,gloucester,sale,23/24,12,32,20
814,saracens,exeter-chiefs,23/24,12,40,22
815,bristol,bath,23/24,12,57,44
816,northampton,newcastle,23/24,12,38,13
817,harlequins,leicester,23/24,12,19,20
818,bath,sale,23/24,13,42,24
819,saracens,harlequins,23/24,13,52,7
820,exeter-chiefs,newcastle,23/24,13,25,16
821,bristol,northampton,23/24,13,52,21
822,leicester,gloucester,23/24,13,25,27
823,sale,exeter-chiefs,23/24,14,41,5
824,harlequins,bath,23/24,14,40,36
825,gloucester,bristol,23/24,14,24,33
826,newcastle,leicester,23/24,14,13,19
827,northampton,saracens,23/24,14,41,30
828,bristol,newcastle,23/24,15,85,14
829,sale,harlequins,23/24,15,37,31
830,exeter-chiefs,bath,23/24,15,14,26
831,northampton,leicester,23/24,15,40,17
832,saracens,gloucester,23/24,15,46,24
833,gloucester,exeter-chiefs,23/24,16,17,38
834,newcastle,sale,23/24,16,14,35
835,harlequins,northampton,23/24,16,41,32
836,leicester,bristol,23/24,16,19,21
837,bath,saracens,23/24,16,12,15
838,exeter-chiefs,harlequins,23/24,17,58,26
839,bristol,saracens,23/24,17,20,41
840,northampton,gloucester,23/24,17,90,0
841,newcastle,bath,23/24,17,17,28
842,sale,leicester,23/24,17,31,22
843,bath,northampton,23/24,18,43,12
844,gloucester,newcastle,23/24,18,54,14
845,harlequins,bristol,23/24,18,28,53
846,leicester,exeter-chiefs,23/24,18,40,22
847,saracens,sale,23/24,18,10,20
848,bath,sale,23/24,SF,31,23
849,northampton,saracens,23/24,SF,22,20
850,northampton,bath,23/24,F,25,21
851,sale,harlequins,24/25,1,12,11
852,gloucester,saracens,24/25,1,26,35
853,exeter-chiefs,leicester,24/25,1,14,17
854,bath,northampton,24/25,1,38,16
855,newcastle,bristol,24/25,1,3,24
856,leicester,bath,24/25,2,15,20
857,northampton,exeter-chiefs,24/25,2,30,24
858,saracens,sale,24/25,2,45,26
859,harlequins,newcastle,24/25,2,28,14
860,bristol,gloucester,24/25,2,41,44
861,saracens,exeter-chiefs,24/25,3,29,14
862,newcastle,leicester,24/25,3,10,42
863,bath,bristol,24/25,3,26,36
864,northampton,harlequins,24/25,3,33,29
865,sale,gloucester,24/25,3,31,27
866,harlequins,saracens,24/25,4,17,10
867,leicester,northampton,24/25,4,24,8
868,gloucester,bath,24/25,4,31,55
869,exeter-chiefs,bristol,24/25,4,35,40
870,sale,newcastle,24/25,4,43,10
871,leicester,gloucester,24/25,5,29,26
872,harlequins,bath,24/25,5,24,26
873,bristol,saracens,24/25,5,35,37
874,newcastle,exeter-chiefs,24/25,5,24,18
875,northampton,sale,24/25,5,29,26
876,exeter-chiefs,harlequins,24/25,6,19,36
877,saracens,leicester,24/25,6,29,32
878,bath,sale,24/25,6,40,13
879,gloucester,newcastle,24/25,6,36,7
880,bristol,northampton,24/25,6,31,23
881,sale,leicester,24/25,7,39,25
882,bath,exeter-chiefs,24/25,7,19,15
883,northampton,gloucester,24/25,7,17,25
884,harlequins,bristol,24/25,7,24,48
885,newcastle,saracens,24/25,7,17,12
886,saracens,northampton,24/25,8,39,24
887,newcastle,bath,24/25,8,15,40
888,sale,exeter-chiefs,24/25,8,28,10
889,leicester,bristol,24/25,8,24,54
890,gloucester,harlequins,24/25,8,14,0
891,exeter-chiefs,gloucester,24/25,9,22,15
892,harlequins,leicester,24/25,9,34,34
893,northampton,newcastle,24/25,9,61,0
894,bath,saracens,24/25,9,68,10
895,bristol,sale,24/25,9,0,38
896,northampton,bath,24/25,10,35,34
897,saracens,bristol,24/25,10,35,26
